Rk,Name,Age,T,W,L,W-L%,ERA,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Rel▼,Name-additional,H/ip,R/ip,ER/ip,HR/ip,BB/ip,IBB/ip,HBP/ip,SO/ip,WP/ip
1,Sandy Alcantara,27,R,11,10,0.524,2.86,1,195.0,158,71,62,17,49,1,183,8,1,4,781,1.062,7.3,0.8,2.3,8.4,3.73,79%,alcansa01,0.8102564102564103,0.3641025641025641,0.31794871794871793,0.08717948717948718,0.2512820512820513,0.005128205128205128,0.041025641025641026,0.9384615384615385,0.020512820512820513
2,Germán Márquez,28,R,9,11,0.45,4.42,1,169.0,161,90,83,22,58,2,152,4,1,9,717,1.296,8.6,1.2,3.1,8.1,2.62,78%,marquge01,0.9526627218934911,0.5325443786982249,0.4911242603550296,0.1301775147928994,0.3431952662721893,0.011834319526627219,0.023668639053254437,0.8994082840236687,0.05325443786982249
3,Aaron Nola,30,R,10,11,0.476,3.73,1,181.0,156,78,75,20,39,1,204,8,0,2,733,1.077,7.8,1.0,1.9,10.1,5.23,78%,nolaaa01,0.861878453038674,0.430939226519337,0.4143646408839779,0.11049723756906077,0.2154696132596685,0.0055248618784530384,0.04419889502762431,1.12707182320442,0.011049723756906077
4,Adam Wainwright,41,R,11,9,0.55,3.61,1,177.0,168,74,71,18,51,2,139,7,0,5,729,1.237,8.5,0.9,2.6,7.1,2.73,78%,wainwad01,0.9491525423728814,0.4180790960451977,0.4011299435028249,0.1016949152542373,0.288135593220339,0.011299435028248588,0.03954802259887006,0.7853107344632768,0.02824858757062147
5,José Berríos,29,R,11,8,0.579,4.31,1,165.0,163,84,79,22,46,0,157,11,0,4,701,1.267,8.9,1.2,2.5,8.6,3.41,77%,berrijo01,0.9878787878787879,0.509090909090909,0.47878787878787876,0.13333333333333333,0.2787878787878788,0.0,0.06666666666666667,0.9515151515151515,0.024242424242424242
6,Corbin Burnes,28,R,11,7,0.611,2.95,1,177.0,134,63,58,16,47,0,214,9,0,8,710,1.023,6.8,0.8,2.4,10.9,4.55,77%,burneco01,0.7570621468926554,0.3559322033898305,0.327683615819209,0.0903954802259887,0.2655367231638418,0.0,0.05084745762711865,1.2090395480225988,0.04519774011299435
7,Dylan Cease,27,R,12,8,0.6,3.09,1,169.0,132,66,58,18,68,1,199,6,1,8,703,1.183,7.0,1.0,3.6,10.6,2.93,77%,ceasedy01,0.7810650887573964,0.3905325443786982,0.3431952662721893,0.10650887573964497,0.40236686390532544,0.005917159763313609,0.03550295857988166,1.1775147928994083,0.047337278106508875
8,Gerrit Cole,32,R,13,8,0.619,3.47,1,179.0,147,74,69,26,47,0,215,3,1,4,718,1.084,7.4,1.3,2.4,10.8,4.57,77%,colege01,0.8212290502793296,0.4134078212290503,0.3854748603351955,0.1452513966480447,0.26256983240223464,0.0,0.01675977653631285,1.2011173184357542,0.0223463687150838
9,Patrick Corbin,33,L,7,15,0.318,5.49,1,154.0,184,101,94,26,51,1,131,5,0,2,685,1.526,10.8,1.5,3.0,7.7,2.57,77%,corbipa01,1.1948051948051948,0.6558441558441559,0.6103896103896104,0.16883116883116883,0.33116883116883117,0.006493506493506494,0.032467532467532464,0.8506493506493507,0.012987012987012988
10,Yu Darvish,36,R,12,9,0.571,3.57,1,174.0,145,71,69,22,43,1,179,9,1,6,705,1.08,7.5,1.1,2.2,9.3,4.16,77%,darviyu01,0.8333333333333334,0.40804597701149425,0.39655172413793105,0.12643678160919541,0.2471264367816092,0.005747126436781609,0.05172413793103448,1.028735632183908,0.034482758620689655
11,Kevin Gausman,32,R,11,8,0.579,3.31,1,166.0,157,68,61,17,40,1,186,3,1,5,686,1.187,8.5,0.9,2.2,10.1,4.65,77%,gausmke01,0.9457831325301205,0.40963855421686746,0.3674698795180723,0.10240963855421686,0.24096385542168675,0.006024096385542169,0.018072289156626505,1.1204819277108433,0.030120481927710843
